Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic
My Sister's Keeper,Based on Fiction Book/Short Story,Drama,Live Action,False,27500000,6,2009,5101595,2606,-1,0.51
Welcome Home Roscoe Jenkins,Original Screenplay,Comedy,Live Action,False,27500000,2,2008,4905285,2385,0.23,0.46
Joyful Noise,Original Screenplay,Musical,Live Action,False,27500000,1,2012,3298259,2735,-1,0.44
A Passage to India,Based on Fiction Book/Short Story,Drama,Live Action,False,27500000,12,1984,129711,3,0.86,-1
Notes on a Scandal,Based on Fiction Book/Short Story,Drama,Live Action,False,27500000,12,2006,6117,1,0.87,0.73
Rendition,Original Screenplay,Thriller/Suspense,Live Action,False,27500000,10,2007,1405000,2250,0.47,0.55
Limitless,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,27000000,3,2011,6631632,2756,0.69,0.59
Star Trek VI: The Undiscovered Country,Based on TV,Action,Live Action,True,27000000,12,1991,22640956,1804,0.81,0.65
The Divine Secrets of the Ya-Ya Sisterhood,Based on Fiction Book/Short Story,Comedy,Live Action,False,27000000,6,2002,5981000,2507,-1,-1
Kiss the Girls,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,27000000,10,1997,4412379,2271,0.29,0.46
The Blues Brothers,Original Screenplay,Musical,Live Action,True,27000000,-1,-1,-1,-1,0.83,0.6
The Jungle Book,Based on Fiction Book/Short Story,Adventure,Live Action,False,27000000,12,1994,11996904,1880,-1,0.65
The Sisterhood of the Traveling Pants 2,Based on Fiction Book/Short Story,Adventure,Live Action,True,27000000,8,2008,5730334,2149,-1,0.63
Money Monster,Original Screenplay,Thriller/Suspense,Live Action,True,27000000,5,2016,4970450,3104,0.58,0.55
About a Boy,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,False,27000000,5,2002,2606000,1207,0.93,0.75
Spy Kids: All the Time in the World,Original Screenplay,Adventure,Live Action,True,27000000,8,2011,4015064,3295,-1,0.37
Lake Placid,Original Screenplay,Thriller/Suspense,Live Action,True,27000000,7,1999,3505000,2095,0.41,0.34
Lucky Number Slevin,Original Screenplay,Thriller/Suspense,Live Action,False,27000000,4,2006,2323069,1984,0.51,0.53
The Right Stuff,Based on Fiction Book/Short Story,Action,Live Action,False,27000000,10,1983,2207953,229,0.98,0.91
Die Unendliche Geschichte,Based on Fiction Book/Short Story,Adventure,Live Action,True,27000000,7,1984,6693114,950,-1,-1
Dark City,Original Screenplay,Thriller/Suspense,Live Action,False,27000000,2,1998,1950000,1754,0.75,0.66
The Duchess,Based on Fiction Book/Short Story,Drama,Live Action,False,27000000,9,2008,56104,7,-1,0.62
Case 39,Original Screenplay,Horror,Live Action,False,27000000,10,2010,1828478,2211,0.21,0.25
The Honeymooners,Based on TV,Comedy,Live Action,False,27000000,6,2005,1923406,1912,-1,0.31
Return to Oz,Based on Fiction Book/Short Story,Adventure,Live Action,True,27000000,6,1985,4666715,1238,-1,0.42
The Newton Boys,Based on Real Life Events,Drama,Live Action,False,27000000,3,1998,1465000,1964,-1,0.57
Suspect Zero,Original Screenplay,Thriller/Suspense,Live Action,False,27000000,8,2004,1050000,1500,0.18,0.37
Martian Child,Based on Fiction Book/Short Story,Drama,Live Action,False,27000000,11,2007,1100000,2020,0.34,0.48
Formula 51,Original Screenplay,Action,Live Action,False,27000000,10,2002,921328,1857,0.26,0.23
Flawless,Original Screenplay,Drama,Live Action,False,27000000,11,1999,171000,478,0.43,0.57
Mindhunters,Original Screenplay,Thriller/Suspense,Live Action,False,27000000,5,2005,700000,1040,0.24,0.33
What Just Happened,Based on Fiction Book/Short Story,Comedy,Live Action,False,27000000,10,2008,265021,36,0.5,-1
The Statement,-1,-1,-1,False,27000000,1,2004,3715,51,-1,0.45
The Magic Flute,Based on Ballet,Musical,Live Action,False,27000000,-1,-1,-1,-1,0.7,-1
Rules Donât Apply,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,True,26700000,11,2016,307888,2382,0.55,0.6
Paul Blart: Mall Cop,Original Screenplay,Adventure,Live Action,True,26000000,1,2009,9791368,3144,0.32,0.39
Freaky Friday,Remake,Comedy,Live Action,False,26000000,8,2003,6007000,2710,0.87,0.7
The 40 Year-old Virgin,Original Screenplay,Comedy,Live Action,False,26000000,8,2005,7055565,2845,-1,-1
Shakespeare in Love,Original Screenplay,Romantic Comedy,Live Action,False,26000000,1,1999,1245000,299,0.92,0.87
Kindergarten Cop,Original Screenplay,Comedy,Live Action,True,26000000,12,1990,16136905,1833,0.51,0.61
Pineapple Express,Original Screenplay,Comedy,Live Action,False,26000000,8,2008,12085679,3072,0.68,0.64
Philadelphia,Original Screenplay,Drama,Live Action,False,26000000,1,1994,16745250,1245,0.79,0.66
Ever After: A Cinderella Story,Based on Folk Tale/Legend/Fairytale,Drama,Live Action,False,26000000,7,1998,3335000,1767,0.91,-1
Flatliners,Original Screenplay,Thriller/Suspense,Live Action,True,26000000,8,1990,16002517,1319,0.48,0.55
Open Range,Based on Fiction Book/Short Story,Western,Live Action,False,26000000,8,2003,4240671,2075,0.79,0.67
Red Eye,Original Screenplay,Thriller/Suspense,Live Action,False,26000000,8,2005,6100000,3079,-1,0.71
New Yearâs Eve,Original Screenplay,Romantic Comedy,Live Action,True,26000000,12,2011,5027448,3505,-1,0.22
A Bridge Too Far,Based on Fiction Book/Short Story,Action,Live Action,False,26000000,-1,-1,-1,-1,-1,-1
Pain & Gain,Based on Real Life Events,Action,Live Action,False,26000000,4,2013,7491446,3277,-1,-1
Final Destination 2,Original Screenplay,Horror,Live Action,True,26000000,1,2003,5700000,2834,0.48,0.38
"O Brother, Where Art Thou?",Based on Folk Tale/Legend/Fairytale,Comedy,Live Action,False,26000000,1,2001,442850,96,0.77,0.69
In Good Company,Original Screenplay,Comedy,Live Action,False,26000000,1,2005,4400000,1565,0.83,0.66
Legion,Original Screenplay,Thriller/Suspense,Live Action,False,26000000,1,2010,6686233,2476,-1,0.32
Lawless,Based on Fiction Book/Short Story,Drama,Live Action,False,26000000,8,2012,1136084,2565,-1,0.58
Clockstoppers,Original Screenplay,Adventure,Live Action,False,26000000,3,2002,4208000,2540,0.29,0.4
Silverado,Original Screenplay,Western,Live Action,False,26000000,7,1985,5303341,1168,0.77,0.64
Brothers,Remake,Drama,Live Action,False,26000000,12,2009,3574150,2088,-1,0.58
The Best of Me,Based on Fiction Book/Short Story,Drama,Live Action,False,26000000,10,2014,4131906,2936,0.09,0.29
Agent Cody Banks 2: Destination London,Original Screenplay,Adventure,Live Action,True,26000000,3,2004,2000000,2973,0.14,0.32
Original Sin,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,26000000,8,2001,2153000,2194,0.12,0.33
The Raven,Original Screenplay,Thriller/Suspense,Live Action,False,26000000,4,2012,2526313,2203,-1,0.44
Welcome to Mooseport,Original Screenplay,Comedy,Live Action,False,26000000,2,2004,2200000,2867,0.13,0.33
Highlander: The Final Dimension,Original Screenplay,Action,Live Action,True,26000000,1,1995,7065822,1593,-1,0.28
Self/Less,Original Screenplay,Thriller/Suspense,Live Action,True,26000000,7,2015,1963105,2353,-1,0.34
The Curse of the Jade Scorpion,Original Screenplay,Comedy,Live Action,False,26000000,8,2001,777500,903,-1,0.52
The Fifth Estate,Based on Real Life Events,Drama,Live Action,False,26000000,10,2013,589301,1769,0.36,0.49
Blood and Wine,Original Screenplay,Thriller/Suspense,Live Action,False,26000000,2,1997,541812,166,0.61,-1
Blood Ties,Original Screenplay,Drama,Live Action,False,26000000,3,2014,8580,28,-1,0.45
The Grimm Brothers' Snow White,Based on Folk Tale/Legend/Fairytale,Horror,Live Action,False,26000000,-1,-1,-1,-1,-1,-1
Viy,Original Screenplay,Adventure,Live Action,False,26000000,-1,-1,-1,-1,-1,-1
Accidental Love,Original Screenplay,Comedy,Live Action,False,26000000,-1,-1,-1,-1,0.09,0.2
The Face of an Angel,Based on Fiction Book/Short Story,Drama,Live Action,False,26000000,-1,-1,-1,-1,0.37,0.37
Flipper,Based on TV,Adventure,Live Action,False,25530000,5,1996,5202170,2385,-1,0.43
The Constant Gardener,Based on Fiction Book/Short Story,Drama,Live Action,False,25500000,8,2005,929829,1324,-1,0.82
W.,Based on Real Life Events,Drama,Live Action,False,25100000,10,2008,3792999,2030,-1,0.56
The Passion of the Christ,Based on Religious Text,Drama,Live Action,False,25000000,2,2004,26556573,3006,-1,0.47
Mrs. Doubtfire,Based on Fiction Book/Short Story,Comedy,Live Action,False,25000000,11,1993,24878005,1605,0.71,0.53
Rain Man,Original Screenplay,Comedy,Live Action,False,25000000,12,1988,11439832,1248,0.89,0.65
The Help,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,8,2011,5539917,2511,0.76,0.62
Hidden Figures,Based on Factual Book/Article,Drama,Live Action,False,25000000,12,2016,515499,25,0.93,0.74
Gran Torino,Original Screenplay,Drama,Live Action,False,25000000,12,2008,74663,6,0.8,0.72
Taken,Original Screenplay,Thriller/Suspense,Live Action,True,25000000,1,2009,9417370,3183,0.58,0.51
Ride Along,Original Screenplay,Comedy,Live Action,True,25000000,1,2014,14406830,2663,0.18,0.41
The Bodyguard,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,11,1992,21532443,1717,-1,0.39
Schindlerâs List,Based on Real Life Events,Drama,Live Action,False,25000000,12,1993,150690,24,0.97,0.93
"Legally Blonde 2: Red, White & Blonde",Original Screenplay,Comedy,Live Action,True,25000000,7,2003,9147000,3350,-1,-1
Scooby-Doo 2: Monsters Unleashed,Based on TV,Adventure,Live Action,True,25000000,3,2004,8500000,3312,-1,0.34
Anchorman: The Legend of Ron Burgundy,Original Screenplay,Comedy,Live Action,True,25000000,7,2004,10758102,3091,0.66,0.63
Freddy vs. Jason,Spin-Off,Horror,Live Action,True,25000000,8,2003,13600000,3014,0.41,0.37
Bridge to Terabithia,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,2,2007,6290733,3139,0.85,0.74
Jimmy Neutron: Boy Genius,Based on TV,Adventure,Digital Animation,False,25000000,12,2001,3736000,3139,0.75,0.65
Cloverfield,Original Screenplay,Action,Live Action,True,25000000,1,2008,17164536,3411,0.77,0.64
Dear John,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,2,2010,13764704,2969,0.29,0.43
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Based on Comic/Graphic Novel,Adventure,Live Action,True,25000000,3,1991,26728908,2868,-1,0.45
Parental Guidance,Original Screenplay,Adventure,Live Action,False,25000000,12,2012,6317559,3359,-1,0.36
The Untouchables,Based on TV,Action,Live Action,True,25000000,6,1987,14907555,1012,-1,0.79
No Country for Old Men,Based on Fiction Book/Short Story,Action,Live Action,False,25000000,11,2007,349000,28,0.93,0.91
Bridget Jones's Diary,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,True,25000000,4,2001,4042500,1611,-1,0.66
Chocolat,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,12,2000,326517,255,0.62,0.64
No Strings Attached,Original Screenplay,Romantic Comedy,Live Action,False,25000000,1,2011,7289609,3018,-1,0.5
Contraband,Remake,Action,Live Action,False,25000000,1,2012,8631945,2863,-1,0.51
A Dogâs Purpose,Based on Fiction Book/Short Story,Drama,Live Action,True,25000000,1,2017,5281695,3059,0.34,0.43
The Lucky One,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,4,2012,9105607,3155,0.21,0.39
Tombstone,Based on Real Life Events,Western,Live Action,False,25000000,12,1993,11922766,1955,0.73,0.5
Romeo Must Die,Original Screenplay,Action,Live Action,False,25000000,3,2000,4105324,2602,0.33,0.52
The Omen,Remake,Horror,Live Action,False,25000000,6,2006,12633666,2660,-1,0.43
Final Destination 3,Original Screenplay,Horror,Live Action,True,25000000,2,2006,7200000,2880,0.43,0.41
Madea's Big Happy Family,Based on Play,Drama,Live Action,True,25000000,4,2011,10457457,2288,0.37,0.45
Tyler Perry's A Madea Christmas,Based on Play,Comedy,Live Action,True,25000000,12,2013,5748584,2194,-1,0.28
Finding Neverland,Based on Play,Drama,Live Action,True,25000000,11,2004,700000,513,0.82,0.67
The Grey,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,1,2012,6481717,3185,-1,0.64
Hide and Seek,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,1,2005,7800000,3005,-1,0.35
Cobra,Based on Fiction Book/Short Story,Action,Live Action,False,25000000,5,1986,18933359,2131,0.14,0.25
The House Bunny,Original Screenplay,Comedy,Live Action,False,25000000,8,2008,5918274,2714,-1,0.55
Agent Cody Banks,Original Screenplay,Adventure,Live Action,True,25000000,3,2003,4185681,3369,0.39,0.41
Nanny McPhee,Based on Fiction Book/Short Story,Adventure,Live Action,True,25000000,1,2006,3571050,1995,0.73,0.59
Goodfellas,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,9,1990,11053410,1070,0.96,0.89
The Giver,Based on Fiction Book/Short Story,Drama,Live Action,True,25000000,8,2014,4750489,3003,0.35,0.47
Scarface,Remake,Drama,Live Action,False,25000000,12,1983,6758000,996,0.81,0.65
Nothing To Lose,Original Screenplay,Comedy,Live Action,False,25000000,7,1997,3756545,1862,-1,-1
The Last Emperor,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,12,1987,1764140,92,-1,0.76
The Night Before,Original Screenplay,Comedy,Live Action,True,25000000,11,2015,3561439,2960,-1,0.58
The Beverly Hillbillies,Based on TV,Comedy,Live Action,False,25000000,10,1993,11734639,2152,-1,0.37
The Hours,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,1,2003,1334346,402,-1,0.8
Money Talks,Original Screenplay,Action,Live Action,False,25000000,8,1997,3533090,2005,0.16,-1
There Will Be Blood,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,12,2007,67951,2,0.91,0.93
The Wild Thornberrys Movie,Based on TV,Adventure,Hand Animation,False,25000000,12,2002,1677000,3012,-1,0.69
Rugrats Go Wild,Based on TV,Adventure,Hand Animation,True,25000000,6,2003,4615000,3041,0.4,0.38
The Sisterhood of the Traveling Pants,Based on Fiction Book/Short Story,Drama,Live Action,True,25000000,6,2005,2135432,2529,-1,0.66
Undercover Brother,Original Screenplay,Comedy,Live Action,False,25000000,5,2002,3432000,2167,0.77,0.69
August: Osage County,Based on Play,Black Comedy,Live Action,False,25000000,12,2013,57254,5,0.66,0.58
Kiss of the Dragon,Original Screenplay,Action,Live Action,False,25000000,7,2001,4795500,2024,0.51,0.58
Million Dollar Arm,Original Screenplay,Drama,Live Action,False,25000000,5,2014,3468004,3019,0.64,0.56
Beauty Shop,Spin-Off,Comedy,Live Action,False,25000000,3,2005,2074000,2659,-1,0.53
What a Girl Wants,Remake,Comedy,Live Action,False,25000000,4,2003,3501180,2964,0.35,0.41
Jeepers Creepers II,Original Screenplay,Horror,Live Action,True,25000000,8,2003,5312000,3124,-1,0.36
Peppermint,Original Screenplay,Action,Live Action,True,25000000,9,2018,4653682,2980,-1,0.29
Good Luck Chuck,Original Screenplay,Romantic Comedy,Live Action,False,25000000,9,2007,5137326,2612,0.05,0.19
Cradle 2 the Grave,Original Screenplay,Action,Live Action,False,25000000,2,2003,6126000,2625,0.25,0.36
She's the Man,Based on Play,Romantic Comedy,Live Action,False,25000000,3,2006,3695630,2623,0.44,0.45
The Gambler,Remake,Drama,Live Action,False,25000000,12,2014,5003169,2478,-1,0.55
Mr. Beanâs Holiday,Based on TV,Adventure,Live Action,True,25000000,8,2007,3265170,1713,0.52,-1
Motherâs Day,Original Screenplay,Romantic Comedy,Live Action,True,25000000,4,2016,2786013,3035,0.42,0.34
Bride of Chucky,Original Screenplay,Horror,Live Action,True,25000000,10,1998,3900000,2411,0.46,0.48
Fist Fight,Original Screenplay,Comedy,Live Action,False,25000000,2,2017,3806379,3185,-1,0.37
August Rush,Based on Real Life Events,Drama,Live Action,False,25000000,11,2007,1863409,2280,0.36,0.38
Anacondas: The Hunt for the Blood Orchid,Original Screenplay,Horror,Live Action,True,25000000,8,2004,4200000,2905,0.25,0.4
The Sitter,Original Screenplay,Comedy,Live Action,False,25000000,12,2011,3706669,2750,-1,0.39
Elizabeth,Based on Real Life Events,Drama,Live Action,True,25000000,11,1998,125821,144,-1,0.75
"Tora, Tora, Tora",-1,-1,-1,False,25000000,-1,-1,-1,-1,0.55,-1
Spice World,Based on Musical Group,Comedy,Live Action,False,25000000,1,1998,3085000,2339,0.35,0.32
Draft Day,Original Screenplay,Drama,Live Action,False,25000000,4,2014,3559192,2781,0.6,0.54
The Shawshank Redemption,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,9,1994,1038376,33,0.91,0.8
Rings,Original Screenplay,Horror,Live Action,True,25000000,2,2017,5631820,2931,-1,0.25
Dance Flick,Original Screenplay,Comedy,Live Action,False,25000000,5,2009,3926444,2450,0.18,0.4
Crocodile Dundee in Los Angeles,Original Screenplay,Adventure,Live Action,True,25000000,4,2001,2376000,2123,0.11,0.37
Kingpin,Original Screenplay,Comedy,Live Action,False,25000000,7,1996,9182785,1956,-1,0.43
Ice Princess,Original Screenplay,Comedy,Live Action,False,25000000,3,2005,2200000,2501,0.51,0.55
Don't Be Afraid of the Dark,Remake,Horror,Live Action,False,25000000,8,2011,3582854,2760,0.67,0.56
The Losers,Based on Comic/Graphic Novel,Action,Live Action,False,25000000,4,2010,3236476,2936,-1,0.44
Fighting,Original Screenplay,Action,Live Action,False,25000000,4,2009,4536995,2309,0.4,0.61
War,Original Screenplay,Action,Live Action,False,25000000,8,2007,3514132,2277,0.14,0.36
Don Juan DeMarco,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,4,1995,5890690,1110,0.69,0.63
A Lot Like Love,Original Screenplay,Comedy,Live Action,False,25000000,4,2005,3000000,2502,-1,0.48
He Got Game,Original Screenplay,Drama,Live Action,False,25000000,5,1998,2605000,1319,0.8,0.63
The Eagle,Based on Fiction Book/Short Story,Action,Live Action,False,25000000,2,2011,2812574,2296,-1,0.55
Shaun the Sheep,Spin-Off,Adventure,Stop-Motion Animation,True,25000000,8,2015,852127,2202,-1,0.81
Shark Night 3D,Original Screenplay,Horror,Live Action,False,25000000,9,2011,2797477,2806,0.19,0.22
CHiPS,Based on TV,Action,Live Action,False,25000000,3,2017,2577980,2464,0.17,0.28
Punch-Drunk Love,Original Screenplay,Comedy,Live Action,False,25000000,10,2002,118539,5,0.8,0.78
Eurotrip,Original Screenplay,Comedy,Live Action,False,25000000,2,2004,2400000,2512,0.47,0.45
Father Figures,Original Screenplay,Comedy,Live Action,False,25000000,12,2017,1370735,2902,-1,0.22
The Ruins,Based on Fiction Book/Short Story,Horror,Live Action,False,25000000,4,2008,2789241,2812,0.48,0.44
The Counselor,Original Screenplay,Thriller/Suspense,Live Action,True,25000000,10,2013,3130082,3044,0.34,0.48
Unaccompanied Minors,Original Screenplay,Adventure,Live Action,False,25000000,12,2006,1557219,2775,0.29,0.43
Mary Queen of Scots,Based on Real Life Events,Drama,Live Action,False,25000000,12,2018,67992,4,0.63,0.6
"Bright Lights, Big City",Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,4,1988,6913038,1196,-1,-1
Half Past Dead,Original Screenplay,Action,Live Action,False,25000000,11,2002,2661236,2113,0.03,0.23
Legend,Original Screenplay,Adventure,Live Action,False,25000000,4,1986,5657264,1187,0.36,0.55
The Adventures of Pinocchio,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,False,25000000,7,1996,6375019,1779,-1,-1
The Greatest Game Ever Played,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,9,2005,1083411,1014,-1,0.55
The Box,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,25000000,11,2009,2847332,2635,-1,0.47
The Next Best Thing,Original Screenplay,Drama,Live Action,False,25000000,3,2000,1973000,2005,-1,0.25
My Soul to Take,Original Screenplay,Horror,Live Action,False,25000000,10,2010,2649160,2572,0.1,0.25
The Girl Next Door,Original Screenplay,Romantic Comedy,Live Action,False,25000000,4,2004,2467000,2148,-1,0.29
Fly Me To the Moon,Original Screenplay,Adventure,Digital Animation,False,25000000,8,2008,703758,452,0.19,-1
Maximum Risk,Original Screenplay,Action,Live Action,False,25000000,9,1996,7365244,2358,0.3,-1
Stealing Harvard,Original Screenplay,Comedy,Live Action,False,25000000,9,2002,2120000,2366,0.09,0.25
Hot Rod,Original Screenplay,Comedy,Live Action,False,25000000,8,2007,1984751,2607,0.39,0.43
Warrior,Original Screenplay,Drama,Live Action,False,25000000,9,2011,1770745,1869,-1,0.71
Angela's Ashes,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,1,2000,17878,6,0.52,0.54
Battle of the Sexes,Based on Real Life Events,Drama,Live Action,True,25000000,9,2017,160306,21,0.86,0.73
Cirque du Soleil: Worlds Away,Original Screenplay,Drama,Live Action,True,25000000,12,2012,808188,840,0.45,0.51
The 33,Based on Factual Book/Article,Drama,Live Action,True,25000000,11,2015,1838134,2452,0.48,0.55
Lifeforce,Based on Fiction Book/Short Story,Horror,Live Action,False,25000000,6,1985,6199826,1526,0.61,0.5
The Conspirator,Based on Real Life Events,Drama,Live Action,False,25000000,4,2011,1099750,707,0.55,0.55
The Powerpuff Girls,Based on TV,Adventure,Hand Animation,False,25000000,7,2002,1526626,2340,-1,0.65
The Lords of Dogtown,Original Screenplay,Action,Live Action,False,25000000,6,2005,2565882,1865,-1,-1
Big Trouble in Little China,Original Screenplay,Action,Live Action,False,25000000,-1,-1,-1,-1,0.78,0.53
Michael Collins,Based on Real Life Events,Drama,Live Action,False,25000000,10,1996,273300,6,0.77,0.6
Stop-Loss,Based on Real Life Events,Drama,Live Action,False,25000000,3,2008,1674770,1291,-1,0.61
Gettysburg,-1,-1,-1,True,25000000,-1,-1,-1,-1,-1,-1
Abandon,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,10,2002,1939913,2341,0.16,0.36
Straw Dogs,Remake,Thriller/Suspense,Live Action,False,25000000,9,2011,1979631,2408,0.87,0.45
Brokedown Palace,Original Screenplay,Drama,Live Action,False,25000000,8,1999,1455000,1740,0.31,0.44
Mrs. Winterbourne,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,False,25000000,4,1996,5031317,1612,0.07,0.35
Stone Cold,Original Screenplay,Action,Live Action,False,25000000,5,1991,3908983,1729,-1,-1
Serenity,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,1,2019,1595951,2561,0.83,0.74
The Road,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,11,2009,558067,111,-1,0.64
Beautiful Boy,Based on Factual Book/Article,Drama,Live Action,False,25000000,10,2018,106562,4,0.71,0.62
The Hoax,Based on Real Life Events,Drama,Live Action,False,25000000,5,2007,8707,42,-1,0.7
Captive State,Original Screenplay,Thriller/Suspense,Live Action,True,25000000,3,2019,1266415,2548,0.45,0.54
Sheena,Based on Comic/Graphic Novel,Adventure,Live Action,False,25000000,8,1984,4159860,1496,0.33,-1
Underclassman,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,9,2005,700000,1132,0.06,0.19
Say It Isn't So,Original Screenplay,Comedy,Live Action,False,25000000,3,2001,946000,1972,0.09,0.21
The World's Fastest Indian,Based on Real Life Events,Drama,Live Action,False,25000000,2,2006,83840,181,-1,0.68
Deception,Original Screenplay,Thriller/Suspense,Live Action,False,25000000,4,2008,764370,2001,-1,0.31
Tank Girl,Based on Comic/Graphic Novel,Action,Live Action,False,25000000,3,1995,2684430,1341,0.38,-1
King's Ransom,Original Screenplay,Comedy,Live Action,False,25000000,4,2005,700000,1508,0.02,0.11
Blindness,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,25000000,10,2008,672840,1690,-1,0.45
Sgt. Stubby: An American Hero,Based on Real Life Events,Adventure,Digital Animation,True,25000000,4,2018,275463,1633,0.87,0.57
Carnage,Based on Play,Drama,Live Action,False,25000000,12,2011,117655,5,0.71,0.71
Tulip Fever,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,9,2017,359382,765,0.1,0.38
BloodRayne,Based on Game,Action,Live Action,True,25000000,1,2006,1792400,985,0.04,0.18
Legend,Based on Real Life Events,Thriller/Suspense,Live Action,True,25000000,11,2015,28696,4,0.36,0.55
Bad Lieutenant: Port of Call New Orleans,Remake,Drama,Live Action,False,25000000,1,2010,4723,43,0.86,-1
Jane Got a Gun,Original Screenplay,Western,Live Action,False,25000000,1,2016,276458,1210,0.42,0.49
Me and Orson Welles,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,11,2009,9512,4,0.85,0.73
Venom,Original Screenplay,Horror,Live Action,False,25000000,10,2005,126,5,-1,0.25
Where the Truth Lies,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,10,2005,216842,92,0.41,0.47
Without Limits,Based on Real Life Events,Drama,Live Action,False,25000000,9,1998,77648,5,0.79,-1
On the Road,Based on Fiction Book/Short Story,Drama,Live Action,False,25000000,12,2012,69885,4,0.44,0.56
Les petits mouchoirs,Original Screenplay,Comedy,Live Action,False,25000000,8,2012,6844,3,0.41,-1
Love Ranch,Based on Real Life Events,Drama,Live Action,False,25000000,7,2010,16133,11,0.13,0.37
Yi ge ren de wu lin,Original Screenplay,Action,Live Action,False,25000000,4,2015,82134,28,-1,-1
Sammy's avonturen: De geheime doorgang,Original Screenplay,Adventure,Digital Animation,False,25000000,-1,-1,-1,-1,-1,-1
Belka i Strelka. Zvezdnye sobaki,Original Screenplay,Adventure,Digital Animation,False,25000000,-1,-1,-1,-1,-1,-1
Matilda,Based on Real Life Events,Drama,Live Action,False,25000000,-1,-1,-1,-1,-1,0.72
La vÃ©ritable histoire du Chat BottÃ©,-1,-1,-1,False,25000000,-1,-1,-1,-1,-1,-1
Ironclad,Original Screenplay,Action,Live Action,True,25000000,-1,-1,-1,-1,0.42,0.42
Red Sky,Based on Fiction Book/Short Story,Action,Live Action,False,25000000,-1,-1,-1,-1,-1,-1
Waterloo,-1,-1,-1,False,25000000,-1,-1,-1,-1,0.33,-1
The Adventurer: The Curse of the Midas Box,Original Screenplay,Adventure,Live Action,False,25000000,-1,-1,-1,-1,0.2,0.39
Reagan,Based on Factual Book/Article,Drama,Live Action,False,25000000,-1,-1,-1,-1,-1,-1
Us,Original Screenplay,Thriller/Suspense,Live Action,True,24600000,3,2019,28923540,3741,-1,0.81
Dangerous Liaisons,Based on Fiction Book/Short Story,Drama,Live Action,False,24200000,11,2012,17000,6,-1,0.74
Star Trek IV: The Voyage Home,Based on TV,Adventure,Live Action,True,24000000,11,1986,21583856,1349,0.85,0.71
Scream 2,Original Screenplay,Horror,Live Action,True,24000000,12,1997,14380000,3112,0.81,0.63
Old School,Original Screenplay,Comedy,Live Action,True,24000000,2,2003,6182500,2689,0.6,0.54
Rocky Balboa,-1,-1,-1,True,24000000,12,2006,6204105,2752,0.77,0.63
Think Like a Man Too,Based on Factual Book/Article,Romantic Comedy,Live Action,True,24000000,6,2014,12180056,2225,0.22,0.38
Fences,Based on Play,Drama,Live Action,True,24000000,12,2016,41254,4,-1,0.79
The Whole Nine Yards,Original Screenplay,Comedy,Live Action,True,24000000,2,2000,3414000,2910,0.45,0.47
Footloose,Remake,Musical,Live Action,False,24000000,10,2011,5432058,3549,0.51,0.58
Going in Style,Remake,Comedy,Live Action,True,24000000,4,2017,4254454,3061,0.82,0.5
Point Break,Original Screenplay,Action,Live Action,False,24000000,7,1991,12816274,1615,0.68,0.34
The Fisher King,Original Screenplay,Drama,Live Action,False,24000000,9,1991,9483768,1214,-1,0.61
I Still Know What You Did Last Summer,Based on Fiction Book/Short Story,Horror,Live Action,True,24000000,11,1998,6640000,2443,0.07,0.21
Hitman,Original Screenplay,Action,Live Action,True,24000000,11,2007,4415314,2401,0.15,0.35
