Movie Name,Production budget,Release day revenue,Tomatometer,Metacritic
Robin Hood,99000000,3159319,-1,-1
The Mummy Returns,98000000,24134667,-1,-1
Gangs of New York,97000000,2872500,0.74,-1
Alien: Covenant,97000000,15301274,0.65,-1
Cinderella,95000000,22996095,-1,-1
Ice Age: Continental Drift,95000000,16728341,0.38,-1
Black Hawk Down,95000000,10117000,0.76,-1
Sex and the City 2,95000000,14208097,0.15,-1
Percy Jackson & the Olympians: The Lightning Thief,95000000,9635313,-1,-1
The Campaign,95000000,10177051,0.65,-1
Unstoppable,95000000,7973861,-1,-1
The Fifth Element,95000000,233396,0.71,-1
The Road to El Dorado,95000000,3676101,-1,-1
The Lovely Bones,95000000,43532,-1,-1
Ben-Hur,95000000,4134322,0.87,-1
Seventh Son,95000000,2287050,0.11,-1
Finding Nemo,94000000,20208056,0.99,-1
The Lord of the Rings: The Return of the King,94000000,34450834,0.93,-1
The Lord of the Rings: The Two Towers,94000000,26159972,0.95,-1
Lara Croft: Tomb Raider,94000000,17621000,0.2,-1
Kingsman: The Secret Service,94000000,10428861,0.74,-1
Jurassic Park III,93000000,19024360,0.5,-1
Rise of the Planet of the Apes,93000000,19534699,0.82,-1
The Spiderwick Chronicles,92500000,2375880,-1,-1
The Incredibles,92000000,20503078,-1,-1
A Good Day to Die Hard,92000000,8239116,0.15,-1
The Alamo,92000000,3356000,-1,-1
Cutthroat Island,92000000,4381670,0.38,-1
The Secret Life of Walter Mitty,91000000,7813372,0.51,-1
Jumanji: Welcome to the Jungle,90000000,7208112,0.76,-1
Men in Black,90000000,4815427,0.92,-1
Toy Story 2,90000000,101000,1.0,-1
Rush Hour 2,90000000,22617500,0.52,-1
Sherlock Holmes,90000000,24608941,-1,-1
Ice Age: Dawn of the Dinosaurs,90000000,13791157,-1,-1
Spider-Man: Into The Spider-Verse 3D,90000000,12665081,-1,-1
What Lies Beneath,90000000,9998065,0.46,-1
Rio,90000000,10345242,0.72,-1
The Departed,90000000,8689561,0.91,-1
Charlie's Angels,90000000,13392000,0.68,-1
Mulan,90000000,7975000,0.86,-1
Tropic Thunder,90000000,6503141,0.81,-1
The Girl with the Dragon Tattoo,90000000,5065496,0.86,-1
Contact,90000000,6543925,-1,-1
You Don't Mess With the Zohan,90000000,14850376,0.37,-1
Die Hard: With a Vengeance,90000000,29882809,0.52,-1
The Magnificent Seven,90000000,12668015,0.63,-1
Alvin and the Chipmunks: The Road Chip,90000000,4126717,0.15,-1
Atlantis: The Lost Empire,90000000,103750,0.49,-1
Valkyrie,90000000,8493000,0.62,-1
Pixels,90000000,9110510,0.17,-1
Artificial Intelligence: AI,90000000,10139500,-1,-1
The Haunted Mansion,90000000,4400000,-1,-1
Hollow Man,90000000,9082000,0.27,-1
The Interpreter,90000000,7400000,0.8,-1
Percy Jackson: Sea of Monsters,90000000,5452994,0.42,-1
Lara Croft: Tomb Raider: The Cradle of Life,90000000,8225219,0.25,-1
Now You See Me 2,90000000,8400189,0.34,-1
Spy Game,90000000,3854000,0.66,-1
The Saint,90000000,7868,-1,-1
Mission to Mars,90000000,7897000,0.25,-1
Tomb Raider,90000000,8984365,-1,-1
Bicentennial Man,90000000,2237000,0.36,-1
King Arthur,90000000,4819000,-1,-1
Volcano,90000000,18344036,-1,-1
The Devil's Own,90000000,22574814,-1,-1
K-19: The Widowmaker,90000000,4023000,0.61,-1
Conan the Barbarian,90000000,3673635,0.7,-1
The Three Musketeers,90000000,2969687,-1,-1
The Promise,90000000,1441951,-1,-1
The Nutcracker in 3D,90000000,10019,0.0,-1
Bright,90000000,-1,0.25,-1
Army of the Dead,90000000,-1,-1,-1
Twister,88000000,57982084,-1,-1
Cinderella Man,88000000,5905225,0.8,-1
The Predator,88000000,10303059,0.32,-1
Fantastic Four,87500000,21263992,0.27,-1
Hannibal,87000000,18959000,-1,-1
Seabiscuit,86000000,6384690,0.77,-1
Cast Away,85000000,11755000,0.88,-1
Happy Feet,85000000,12257221,0.76,-1
Ocean's Eleven,85000000,13300000,0.82,-1
The Bourne Supremacy,85000000,18400000,-1,-1
Air Force One,85000000,11981951,0.76,-1
Fast & Furious,85000000,30560630,-1,-1
Horton Hears a Who,85000000,13337277,-1,-1
Divergent,85000000,22784019,0.42,-1
Hotel Transylvania,85000000,10973012,0.44,-1
Enchanted,85000000,7967766,0.93,-1
Safe House,85000000,13645625,-1,-1
I Now Pronounce You Chuck and Larry,85000000,12599475,0.14,-1
Ocean's Thirteen,85000000,13178716,0.7,-1
Itâs Complicated,85000000,7174195,-1,-1
Enemy of the State,85000000,6360000,0.71,-1
Open Season,85000000,6212884,0.48,-1
Tower Heist,85000000,8062980,0.67,-1
102 Dalmatians,85000000,2600000,-1,-1
Mirror Mirror,85000000,5808426,-1,-1
The Holiday,85000000,4441935,0.49,-1
