Name,Source type,Genre,Production method,Is part of a franchise?,Production budget (in USD),Month,Year,Release day revenue,Number of theaters on release day,Tomatometer,Metacritic,Release day revenue / production budget,Rotten Tomatoes Audience
Bottle Rocket,Based on Short Film,Action,Live Action,False,5000000,2,1996,170100,28,0.85,0.66,0.03402,0.79
Ain't Them Bodies Saints,Original Screenplay,Drama,Live Action,False,5000000,8,2013,40921,3,0.78,0.74,0.0081842,0.61
Albino Alligator,Original Screenplay,Drama,Live Action,False,5000000,1,1997,125025,12,0.5,0.48,0.025005,0.42
Jimi: All is By My Side,Based on Real Life Events,Drama,Live Action,False,5000000,9,2014,30256,34,0.66,0.66,0.0060512,0.37
"Gandhi, My Father",Based on Factual Book/Article,Drama,Live Action,False,5000000,8,2007,210870,38,0.44,0.57,0.042174,0.71
Standard Operating Procedure,Based on Real Life Events,Documentary,Live Action,False,5000000,5,2008,6661,18,0.79,0.7,0.0013322,0.78
Tucker & Dale vs. Evil,Original Screenplay,Black Comedy,Live Action,False,5000000,9,2011,71566,31,-1.0,-1.0,0.0143132,-1.0
No Looking Back,-1,-1,-1,False,5000000,3,1998,61518,7,0.36,-1.0,0.0123036,0.65
Cop Car,Original Screenplay,Thriller/Suspense,Live Action,False,5000000,8,2015,9788,3,0.8,0.66,0.0019576,0.52
"Lovely, Still",Original Screenplay,Drama,Live Action,False,5000000,9,2010,5884,2,0.71,0.57,0.0011768,0.75
Tycoon,-1,-1,-1,False,5000000,6,2003,22239,2,-1.0,-1.0,0.0044478,-1.0
Desert Blue,-1,-1,-1,False,5000000,6,1999,20940,5,0.37,-1.0,0.004188,0.48
Decoys,-1,-1,-1,False,5000000,2,2004,84733,55,-1.0,-1.0,0.0169466,-1.0
Stuck,Original Screenplay,Thriller/Suspense,Live Action,False,5000000,5,2008,13446,2,0.72,0.61,0.0026892,0.54
Redacted,Based on Real Life Events,Drama,Live Action,False,5000000,11,2007,34612,15,0.45,0.52,0.0069224,0.45
Rudderless,Original Screenplay,Drama,Live Action,False,5000000,10,2014,49403,18,0.63,0.52,0.0098806,0.83
Fascination,Original Screenplay,Thriller/Suspense,Live Action,False,5000000,1,2005,14141,10,-1.0,0.13,0.0028282,-1.0
Grace,Original Screenplay,Horror,Live Action,False,5000000,8,2009,8297,2,-1.0,0.52,0.0016594,-1.0
Area 51,Original Screenplay,Thriller/Suspense,Live Action,False,5000000,-1,-1,-1,-1,0.17,0.3,-2e-07,0.14
Mientras duermes,Original Screenplay,Thriller/Suspense,Live Action,False,5000000,-1,-1,-1,-1,0.94,-1.0,-2e-07,0.78
Flying By,-1,-1,-1,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
The Cottage,Original Screenplay,Horror,Live Action,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
Dying of the Light,Original Screenplay,Thriller/Suspense,Live Action,False,5000000,-1,-1,-1,-1,0.09,0.31,-2e-07,0.15
Yoga Hosers,Original Screenplay,Adventure,Live Action,True,5000000,-1,-1,-1,-1,0.23,0.23,-2e-07,0.34
Dead Like Me: Life After Death,Original Screenplay,Black Comedy,Live Action,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
Farce of the Penguins,Original Screenplay,Comedy,Live Action,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
Psych 9,Original Screenplay,Horror,Live Action,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
Reach Me,Original Screenplay,Drama,Live Action,False,5000000,-1,-1,-1,-1,0.04,0.21,-2e-07,0.48
Henry & Me,Original Screenplay,Adventure,Hand Animation,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
Born of War,Original Screenplay,Action,Live Action,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
Let's Kill Ward's Wife,Original Screenplay,Black Comedy,Live Action,False,5000000,-1,-1,-1,-1,0.17,0.21,-2e-07,0.29
Capricorn One,Original Screenplay,Action,Live Action,False,5000000,-1,-1,-1,-1,0.65,-1.0,-2e-07,0.58
We Have Your Husband,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
Should've Been Romeo,Original Screenplay,Comedy,Live Action,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
Aztec Warrior,Original Screenplay,Comedy,Live Action,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
Navy SEAL vs. Zombies,Original Screenplay,Action,Live Action,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
The Hatching,Original Screenplay,Black Comedy,Live Action,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
Running Forever,Original Screenplay,Drama,Live Action,False,5000000,-1,-1,-1,-1,-1.0,-1.0,-2e-07,-1.0
Mommy,Original Screenplay,Drama,Live Action,False,4900000,9,2014,48030,62,-1.0,0.74,0.00980204081632653,-1.0
Obsluhoval jsem anglickÃ©ho krÃ¡le,Based on Fiction Book/Short Story,Black Comedy,Live Action,False,4900000,9,2008,15242,8,-1.0,-1.0,0.003110612244897959,-1.0
Soul Kitchen,-1,-1,-1,False,4900000,9,2010,10339,15,-1.0,0.76,0.00211,-1.0
The Awakening,Original Screenplay,Horror,Live Action,False,4900000,8,2012,95933,70,0.62,0.53,0.019578163265306123,0.51
All Hat,Based on Fiction Book/Short Story,Comedy,Live Action,False,4900000,1,2008,1710,1,-1.0,-1.0,0.0003489795918367347,-1.0
Sling Blade,Based on Short Film,Drama,Live Action,False,4833610,1,1997,25435,2,0.96,0.84,0.005262112582521138,0.93
Hostel,Original Screenplay,Horror,Live Action,True,4800000,1,2006,7620052,2195,0.61,0.55,1.5875108333333334,0.53
Only God Forgives,Original Screenplay,Thriller/Suspense,Live Action,False,4800000,7,2013,458695,78,0.41,0.37,0.09556145833333334,0.37
Take Shelter,Original Screenplay,Drama,Live Action,False,4750000,9,2011,74221,3,0.92,0.85,0.015625473684210526,0.81
Tristram Shandy: A Cock and Bull Story,Based on Fiction Book/Short Story,Comedy,Live Action,False,4750000,2,2006,32340,32,0.89,0.8,0.006808421052631579,0.66
The Texas Chainsaw Massacre 2,Remake,Horror,Live Action,True,4700000,-1,-1,-1,-1,-1.0,0.42,-2.1276595744680852e-07,-1.0
Lady in White,Original Screenplay,Horror,Live Action,False,4700000,-1,-1,-1,-1,0.67,-1.0,-2.1276595744680852e-07,0.69
Driving Lessons,-1,-1,-1,False,4700000,12,2006,490,11,-1.0,0.56,0.00010425531914893617,-1.0
Without Men,Based on Fiction Book/Short Story,Comedy,Live Action,False,4700000,-1,-1,-1,-1,-1.0,-1.0,-2.1276595744680852e-07,-1.0
Treading Water,Original Screenplay,Comedy,Live Action,False,4700000,-1,-1,-1,-1,-1.0,0.47,-2.1276595744680852e-07,-1.0
Pat Garrett and Billy the Kid,-1,-1,-1,False,4638783,-1,-1,-1,-1,0.85,-1.0,-2.1557378303749066e-07,0.83
Camping Sauvage,Original Screenplay,Comedy,Live Action,False,4600000,8,2004,96208,54,-1.0,-1.0,0.020914782608695653,-1.0
Barfi,Original Screenplay,Romantic Comedy,Live Action,False,4600000,9,2012,260292,132,0.86,-1.0,0.05658521739130435,0.86
Dear Frankie,Original Screenplay,Drama,Live Action,False,4600000,5,2005,4469,41,0.81,0.63,0.0009715217391304347,0.9
The Assassination of Richard Nixon,Based on Real Life Events,Drama,Live Action,False,4600000,2,2005,9000,27,-1.0,0.63,0.001956521739130435,-1.0
Le nom des gens,Original Screenplay,Comedy,Live Action,False,4600000,7,2011,8627,8,0.73,-1.0,0.0018754347826086956,0.78
Savage Grace,Based on Fiction Book/Short Story,Drama,Live Action,False,4600000,5,2008,32965,2,0.38,0.51,0.007166304347826087,0.38
Out of the Blue,Based on Fiction Book/Short Story,Drama,Live Action,False,4600000,-1,-1,-1,-1,-1.0,0.7,-2.173913043478261e-07,-1.0
Police Academy,Original Screenplay,Comedy,Live Action,True,4500000,3,1984,11863740,1063,0.54,0.41,2.6363866666666667,0.64
Four Weddings and a Funeral,Original Screenplay,Romantic Comedy,Live Action,False,4500000,4,1994,2881513,240,0.96,0.81,0.6403362222222222,0.74
The Blue Lagoon,Based on Fiction Book/Short Story,Drama,Live Action,False,4500000,-1,-1,-1,-1,0.09,0.31,-2.2222222222222222e-07,0.53
Fast Times at Ridgemont High,Based on Fiction Book/Short Story,Comedy,Live Action,False,4500000,8,1982,4225997,498,0.78,0.67,0.9391104444444445,0.8
Secrets & Lies,Original Screenplay,Drama,Live Action,False,4500000,10,1996,271304,17,-1.0,-1.0,0.060289777777777775,-1.0
25th Hour,Based on Fiction Book/Short Story,Drama,Live Action,False,4500000,1,2003,1102784,490,0.78,0.67,0.24506311111111112,0.85
After Hours,Original Screenplay,Comedy,Live Action,False,4500000,9,1985,90701,1,-1.0,0.9,0.02015577777777778,-1.0
Moby Dick,Based on Fiction Book/Short Story,Adventure,Live Action,False,4500000,-1,-1,-1,-1,-1.0,-1.0,-2.2222222222222222e-07,-1.0
The Lobster,Original Screenplay,Romantic Comedy,Live Action,True,4500000,5,2016,62933,12,0.88,0.82,0.013985111111111111,0.64
Bound,Original Screenplay,Thriller/Suspense,Live Action,False,4500000,10,1996,1304319,261,0.88,0.61,0.28984866666666664,0.82
Requiem for a Dream,Based on Fiction Book/Short Story,Drama,Live Action,False,4500000,11,2000,78000,25,0.79,0.68,0.017333333333333333,0.93
State Fair,-1,-1,-1,False,4500000,-1,-1,-1,-1,-1.0,-1.0,-2.2222222222222222e-07,-1.0
LÃ¥t den rÃ¤tte komma in,Original Screenplay,Horror,Live Action,False,4500000,1,2009,9167,39,-1.0,-1.0,0.002037111111111111,-1.0
Tango,Original Screenplay,Drama,Live Action,False,4500000,2,1999,97462,5,-1.0,-1.0,0.02165822222222222,-1.0
Salvador,Original Screenplay,Drama,Live Action,False,4500000,-1,-1,-1,-1,0.88,-1.0,-2.2222222222222222e-07,0.86
Donnie Darko,Original Screenplay,Drama,Live Action,True,4500000,10,2001,164193,58,0.87,0.71,0.03648733333333333,0.8
Salvando al Soldado Perez,Original Screenplay,Action,Live Action,False,4500000,9,2011,198079,161,-1.0,-1.0,0.04401755555555555,-1.0
Karakter,Based on Fiction Book/Short Story,Drama,Live Action,False,4500000,3,1998,52132,6,-1.0,-1.0,0.01158488888888889,-1.0
Nannerl la soeur de Mozart,Original Screenplay,Drama,Live Action,False,4500000,9,2011,4321,7,0.74,-1.0,0.0009602222222222222,0.54
Spun,-1,-1,-1,False,4500000,3,2003,23078,1,0.37,0.41,0.005128444444444444,0.75
Life During Wartime,-1,-1,-1,False,4500000,9,2010,1439,8,0.56,0.69,0.00031977777777777777,0.15
Chinjeolhan geumjassi,Original Screenplay,Thriller/Suspense,Live Action,True,4500000,5,2006,4170,6,-1.0,-1.0,0.0009266666666666667,-1.0
Blackthorn,Original Screenplay,Adventure,Live Action,False,4500000,10,2011,25280,8,0.75,0.61,0.005617777777777778,0.61
Maggie,Original Screenplay,Drama,Live Action,False,4500000,5,2015,45000,79,-1.0,0.52,0.01,-1.0
Lilja 4-ever,Based on Real Life Events,Drama,Live Action,False,4500000,4,2003,51936,4,-1.0,-1.0,0.011541333333333334,-1.0
After.Life,Original Screenplay,Horror,Live Action,False,4500000,4,2010,18318,41,-1.0,0.36,0.004070666666666667,-1.0
Mean Machine,-1,-1,-1,False,4500000,2,2002,24577,6,0.34,0.45,0.0054615555555555554,0.72
Fong juk,Original Screenplay,Action,Live Action,False,4500000,9,2007,4849,2,-1.0,-1.0,0.0010775555555555556,-1.0
Spoken Word,-1,-1,-1,False,4500000,9,2010,476,2,0.46,0.56,0.00010577777777777778,0.41
The Sweeney,Based on TV,Action,Live Action,False,4500000,3,2013,25572,11,0.46,0.48,0.005682666666666667,0.44
Falcon Rising,Original Screenplay,Adventure,Live Action,False,4500000,9,2014,987,10,0.43,0.49,0.00021933333333333334,0.43
Hansel & Gretel Get Baked,Based on Folk Tale/Legend/Fairytale,Black Comedy,Live Action,False,4500000,-1,-1,-1,-1,-1.0,-1.0,-2.2222222222222222e-07,-1.0
Fugly,Original Screenplay,Thriller/Suspense,Live Action,False,4500000,-1,-1,-1,-1,-1.0,-1.0,-2.2222222222222222e-07,-1.0
Zipper,Original Screenplay,Thriller/Suspense,Live Action,False,4500000,-1,-1,-1,-1,0.17,0.39,-2.2222222222222222e-07,0.27
The Final Girls,Original Screenplay,Black Comedy,Live Action,False,4500000,-1,-1,-1,-1,0.73,0.59,-2.2222222222222222e-07,0.7
One Flew Over the Cuckoo's Nest,Based on Fiction Book/Short Story,Drama,Live Action,False,4400000,11,1975,185908,4,0.94,0.8,0.04225181818181818,0.96
Silent Movie,Original Screenplay,Comedy,Live Action,False,4400000,-1,-1,-1,-1,0.82,-1.0,-2.2727272727272726e-07,0.72
Airlift (2016),Original Screenplay,Drama,Live Action,False,4400000,-1,-1,-1,-1,-1.0,-1.0,-2.2727272727272726e-07,-1.0
R.L. Stine's Monsterville: The Cabinet of Souls,Based on Fiction Book/Short Story,Adventure,Live Action,False,4400000,-1,-1,-1,-1,-1.0,-1.0,-2.2727272727272726e-07,-1.0
Anna,Original Screenplay,Thriller/Suspense,Live Action,False,4357373,-1,-1,-1,-1,-1.0,0.42,-2.2949607481388443e-07,-1.0
Whale Rider,Based on Fiction Book/Short Story,Drama,Live Action,False,4300000,6,2003,195655,9,0.91,0.8,0.04550116279069767,0.88
Sexy Beast,Original Screenplay,Drama,Live Action,False,4300000,6,2001,22149,9,0.86,0.79,0.005150930232558139,0.84
Paa,-1,-1,-1,False,4300000,12,2009,55690,67,-1.0,0.3,0.012951162790697674,-1.0
Snabba Cash,Remake,Thriller/Suspense,Live Action,True,4300000,7,2012,34287,2,0.85,-1.0,0.007973720930232558,0.63
Night of the Living Dead,Remake,Horror,Live Action,False,4200000,10,1990,3579624,1544,0.97,0.89,0.8522914285714286,0.87
Nochnoy dozor,Based on Fiction Book/Short Story,Action,Live Action,True,4200000,2,2006,19440,3,-1.0,-1.0,0.004628571428571429,-1.0
Animal Kingdom,Original Screenplay,Drama,Live Action,False,4200000,9,2010,38285,56,0.95,0.83,0.009115476190476191,0.83
George A. Romero's Survival of the Dead,-1,-1,-1,True,4200000,5,2010,10848,20,-1.0,-1.0,0.002582857142857143,-1.0
Cargo,Original Screenplay,Drama,Live Action,False,4200000,-1,-1,-1,-1,-1.0,0.47,-2.380952380952381e-07,-1.0
High School Musical,Original Screenplay,Musical,Live Action,True,4200000,-1,-1,-1,-1,0.56,-1.0,-2.380952380952381e-07,0.74
Love and Death on Long Island,Based on Fiction Book/Short Story,Drama,Live Action,False,4030000,3,1998,113577,6,0.86,0.8,0.02818287841191067,0.57
Porky's,Original Screenplay,Comedy,Live Action,True,4000000,3,1982,11154768,1148,-1.0,0.4,2.788692,-1.0
Peter Pan,Based on Fiction Book/Short Story,Adventure,Hand Animation,True,4000000,12,1982,2130239,465,-1.0,0.64,0.53255975,-1.0
The Crying Game,Original Screenplay,Drama,Live Action,False,4000000,1,1993,1925241,192,-1.0,0.9,0.48131025,-1.0
Lost in Translation,Original Screenplay,Drama,Live Action,False,4000000,9,2003,883000,183,0.95,0.89,0.22075,0.85
Annie Hall,Original Screenplay,Comedy,Live Action,False,4000000,-1,-1,-1,-1,0.97,0.92,-2.5e-07,0.92
The Boy Next Door,Original Screenplay,Thriller/Suspense,Live Action,False,4000000,1,2015,5724990,2602,-1.0,0.3,1.4312475,-1.0
The Greatest Show on Earth,-1,-1,-1,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
Leaving Las Vegas,Based on Fiction Book/Short Story,Drama,Live Action,False,4000000,10,1995,120172,7,0.9,0.82,0.030043,0.85
Monster's Ball,Original Screenplay,Drama,Live Action,False,4000000,3,2002,200000,660,0.85,0.69,0.05,0.67
Boyhood,Original Screenplay,Drama,Live Action,False,4000000,7,2014,57073,5,0.97,1.0,0.01426825,0.8
Exodus,-1,-1,-1,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
The Kids Are All Right,Original Screenplay,Comedy,Live Action,False,4000000,7,2010,143380,7,0.93,0.86,0.035845,0.73
Life of Brian,Original Screenplay,Comedy,Live Action,True,4000000,4,2004,36924,4,-1.0,0.75,0.009231,-1.0
A Haunted House 2,Original Screenplay,Comedy,Live Action,True,4000000,4,2014,4045237,2310,0.08,0.17,1.01130925,0.43
The Last Exorcism Part II,Original Screenplay,Horror,Live Action,True,4000000,3,2013,3249542,2700,0.16,0.35,0.8123855,0.26
The Front Page,Based on Play,Comedy,Live Action,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
Trapeze,-1,-1,-1,False,4000000,-1,-1,-1,-1,0.67,-1.0,-2.5e-07,0.64
The Return of the Living Dead,-1,-1,-1,True,4000000,8,1985,6501602,1506,-1.0,0.66,1.6254005,-1.0
They Live,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,4000000,11,1988,6216803,1463,0.85,0.54,1.55420075,0.79
Saving Grace,Original Screenplay,Comedy,Live Action,False,4000000,8,2000,106000,30,-1.0,0.62,0.0265,-1.0
The Great Escape,Based on Real Life Events,Drama,Live Action,False,4000000,-1,-1,-1,-1,0.94,0.87,-2.5e-07,0.95
What the #$'! Do We Know,Based on Real Life Events,Documentary,Live Action,True,4000000,1,2005,18347,64,0.34,-1.0,0.00458675,0.68
The Darkness,Original Screenplay,Horror,Live Action,True,4000000,5,2016,2133144,1755,0.03,0.27,0.533286,0.19
Scoop,Original Screenplay,Romantic Comedy,Live Action,False,4000000,8,2006,522000,541,0.41,0.48,0.1305,0.55
The Wash,Original Screenplay,Comedy,Live Action,False,4000000,11,2001,468000,743,-1.0,0.18,0.117,-1.0
3 Strikes,Original Screenplay,Comedy,Live Action,False,4000000,3,2000,501211,678,0.0,0.11,0.12530275,0.65
The Visitor,Original Screenplay,Comedy,Live Action,False,4000000,4,2008,21073,4,-1.0,0.79,0.00526825,-1.0
The Cooler,Original Screenplay,Drama,Live Action,False,4000000,1,2004,211732,396,-1.0,0.69,0.052933,-1.0
The Misfits,-1,-1,-1,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
The Night Listener,Based on Real Life Events,Drama,Live Action,False,4000000,8,2006,1187000,1367,0.4,0.51,0.29675,0.35
The Jerky Boys,Original Screenplay,Comedy,Live Action,False,4000000,2,1995,5271613,1513,-1.0,-1.0,1.31790325,-1.0
El orfanato,Original Screenplay,Horror,Live Action,False,4000000,12,2007,30372,19,-1.0,-1.0,0.007593,-1.0
Bug,Based on Play,Drama,Live Action,False,4000000,5,2007,1081375,1661,0.61,0.62,0.27034375,0.34
The Rules of Attraction,Based on Fiction Book/Short Story,Black Comedy,Live Action,False,4000000,10,2002,3626337,1437,-1.0,0.5,0.90658425,-1.0
Topaz,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,4000000,-1,-1,-1,-1,0.68,-1.0,-2.5e-07,0.36
Let's Go to Prison,Original Screenplay,Comedy,Live Action,False,4000000,11,2006,740000,1495,0.12,0.27,0.185,0.48
Four Rooms,Original Screenplay,Comedy,Live Action,False,4000000,12,1995,1675332,319,0.14,-1.0,0.418833,0.69
Secretary,Based on Fiction Book/Short Story,Drama,Live Action,False,4000000,9,2002,267634,11,0.76,0.63,0.0669085,0.82
The Real Cancun,Based on TV,Documentary,Live Action,False,4000000,4,2003,833000,2261,-1.0,0.34,0.20825,-1.0
Talk Radio,Based on Fiction Book/Short Story,Drama,Live Action,False,4000000,-1,-1,-1,-1,0.83,0.66,-2.5e-07,0.81
Waiting for Guffman,Original Screenplay,Comedy,Live Action,False,4000000,1,1997,55700,3,0.91,0.71,0.013925,0.91
Love Stinks,Original Screenplay,Comedy,Live Action,False,4000000,9,1999,325000,1324,0.19,0.23,0.08125,0.63
Samsara,Based on Real Life Events,Documentary,Live Action,False,4000000,8,2012,117703,2,-1.0,0.65,0.02942575,-1.0
You Kill Me,Original Screenplay,Black Comedy,Live Action,False,4000000,6,2007,337136,35,-1.0,0.64,0.084284,-1.0
The Art of Getting By,Original Screenplay,Romantic Comedy,Live Action,False,4000000,6,2011,296079,610,0.2,0.36,0.07401975,0.46
Thumbsucker,Based on Fiction Book/Short Story,Comedy,Live Action,False,4000000,10,2005,40783,330,0.71,0.69,0.01019575,0.71
Red State,Original Screenplay,Horror,Live Action,False,4000000,8,2011,51062,1,0.6,0.5,0.0127655,0.54
MirrorMask,Original Screenplay,Drama,Hand Animation,False,4000000,10,2005,12364,24,0.54,0.55,0.003091,0.8
The Barbarians,-1,-1,-1,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
Holy Motors,Original Screenplay,Drama,Live Action,False,4000000,10,2012,32098,2,0.91,0.84,0.0080245,0.71
The Signal,Original Screenplay,Thriller/Suspense,Live Action,True,4000000,6,2014,50343,120,-1.0,0.63,0.01258575,-1.0
Poolhall Junkies,Original Screenplay,Drama,Live Action,False,4000000,2,2003,427973,179,0.33,0.36,0.10699325,0.87
The Loss of Sexual Innocence,-1,-1,-1,False,4000000,5,1999,64627,5,-1.0,0.42,0.01615675,-1.0
The Face of Love,Original Screenplay,Drama,Live Action,False,4000000,3,2014,60507,42,0.41,0.51,0.01512675,0.32
Joe,Based on Fiction Book/Short Story,Drama,Live Action,False,4000000,4,2014,29505,48,0.8,0.74,0.00737625,0.62
Prison,Original Screenplay,Horror,Live Action,False,4000000,-1,-1,-1,-1,0.4,0.47,-2.5e-07,0.32
Shooting Fish,-1,-1,-1,False,4000000,5,1998,76330,23,0.57,0.47,0.0190825,0.76
Adoration,Original Screenplay,Drama,Live Action,False,4000000,5,2009,2430,18,0.63,0.64,0.0006075,0.48
Psycho Beach Party,Based on Play,Comedy,Live Action,False,4000000,8,2000,34496,7,0.53,0.42,0.008624,0.66
The Big Tease,Original Screenplay,Comedy,Live Action,False,4000000,1,2000,40375,4,0.56,0.53,0.01009375,0.55
Polina danser sa vie,Based on Fiction Book/Short Story,Drama,Live Action,False,4000000,8,2017,21626,2,0.83,-1.0,0.0054065,0.59
Desert Dancer,Based on Real Life Events,Drama,Live Action,False,4000000,4,2015,13476,23,0.33,0.49,0.003369,0.62
Mondays in the Sun,-1,-1,-1,False,4000000,7,2003,32730,7,0.8,0.64,0.0081825,0.86
Manglehorn,Original Screenplay,Drama,Live Action,False,4000000,6,2015,17887,3,0.5,0.56,0.00447175,0.25
Tau ming chong,Remake,Action,Live Action,False,4000000,4,2010,14440,3,0.63,-1.0,0.00361,0.7
Trust,Original Screenplay,Drama,Live Action,False,4000000,4,2011,84186,28,-1.0,0.67,0.0210465,-1.0
An Everlasting Piece,Original Screenplay,Comedy,Live Action,False,4000000,1,2001,211,4,-1.0,0.56,5.275e-05,-1.0
Among Giants,Original Screenplay,Romantic Comedy,Live Action,False,4000000,3,1999,19248,2,0.6,-1.0,0.004812,0.37
The Velocity of Gary,-1,-1,-1,False,4000000,-1,-1,-1,-1,0.22,-1.0,-2.5e-07,0.52
Stake Land,Original Screenplay,Horror,Live Action,True,4000000,4,2011,10032,1,0.74,0.66,0.002508,0.62
Praia do Futuro,Original Screenplay,Drama,Live Action,False,4000000,2,2015,4297,1,-1.0,-1.0,0.00107425,-1.0
Sonny,Original Screenplay,Drama,Live Action,False,4000000,12,2002,17639,6,0.23,0.31,0.00440975,0.42
The Last Time I Committed Suicide,-1,-1,-1,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
13 Sins,Original Screenplay,Horror,Live Action,False,4000000,-1,-1,-1,-1,0.62,0.44,-2.5e-07,0.45
Another Happy Day,Original Screenplay,Drama,Live Action,False,4000000,-1,-1,-1,-1,0.44,0.46,-2.5e-07,0.44
Inescapable,Original Screenplay,Thriller/Suspense,Live Action,False,4000000,2,2013,2653,2,-1.0,0.37,0.00066325,-1.0
Perfectos Desconocidos,Original Screenplay,Comedy,Live Action,False,4000000,-1,-1,-1,-1,0.83,0.63,-2.5e-07,0.59
Geograf globus propil,Original Screenplay,Drama,Live Action,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
A Lonely Place to Die,Original Screenplay,Adventure,Live Action,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
Nothing,Original Screenplay,Black Comedy,Live Action,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
1776,Based on Play,Musical,Live Action,False,4000000,-1,-1,-1,-1,0.69,-1.0,-2.5e-07,0.84
Hell's Angels,-1,-1,-1,False,4000000,-1,-1,-1,-1,0.76,-1.0,-2.5e-07,0.61
Purple Violets,Original Screenplay,Romantic Comedy,Live Action,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
Replicas,Original Screenplay,Thriller/Suspense,Live Action,False,4000000,-1,-1,-1,-1,0.45,0.5,-2.5e-07,0.16
The Helpers,Original Screenplay,Horror,Live Action,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
How to Fall in Love,Original Screenplay,Romantic Comedy,Live Action,False,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
Chain of Command,Original Screenplay,Action,Live Action,True,4000000,-1,-1,-1,-1,-1.0,-1.0,-2.5e-07,-1.0
Gone with the Wind,Based on Fiction Book/Short Story,Drama,Live Action,False,3900000,6,1998,1962627,214,0.92,0.97,0.5032376923076923,0.92
A Man for All Seasons,-1,-1,-1,False,3900000,-1,-1,-1,-1,-1.0,-1.0,-2.564102564102564e-07,-1.0
Ben-Hur: A Tale of the Christ,Based on Fiction Book/Short Story,Adventure,Live Action,False,3900000,-1,-1,-1,-1,1.0,-1.0,-2.564102564102564e-07,0.85
Network,Original Screenplay,Drama,Live Action,False,3800000,-1,-1,-1,-1,0.92,0.88,-2.631578947368421e-07,0.93
Down for Life,Based on Factual Book/Article,Drama,Live Action,False,3800000,1,2011,7890,5,-1.0,-1.0,0.0020763157894736844,-1.0
The Good Heart,Original Screenplay,Drama,Live Action,False,3800000,4,2010,9578,5,-1.0,0.4,0.0025205263157894735,-1.0
Major Dundee,Based on Fiction Book/Short Story,Western,Live Action,False,3800000,4,2005,6620,1,0.97,0.62,0.0017421052631578946,0.67
Hevi reissu,Original Screenplay,Comedy,Live Action,False,3800000,10,2018,7634,19,0.92,-1.0,0.0020089473684210524,0.81
The Taking of Pelham One Two Three,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,False,3800000,-1,-1,-1,-1,1.0,0.68,-2.631578947368421e-07,0.87
Annie Get Your Gun,Based on Fiction Book/Short Story,Musical,Live Action,False,3768785,-1,-1,-1,-1,1.0,0.77,-2.653375026699586e-07,0.67
Casa de Areia,Original Screenplay,Drama,Live Action,False,3750000,9,2006,6319,10,0.79,-1.0,0.0016850666666666666,0.79
Four Lions,Original Screenplay,Black Comedy,Live Action,False,3750000,11,2010,3599,7,0.83,0.68,0.0009597333333333333,0.79
Defendor,-1,-1,-1,False,3750000,2,2010,25484,4,0.7,0.57,0.006795733333333333,0.58
The Ballad of Cable Hogue,Original Screenplay,Western,Live Action,False,3716946,-1,-1,-1,-1,-1.0,-1.0,-2.690380758827274e-07,-1.0
The Pirate,-1,-1,-1,False,3700000,-1,-1,-1,-1,0.71,-1.0,-2.702702702702703e-07,0.75
The History Boys,Based on Play,Comedy,Live Action,False,3700000,11,2006,9740,6,-1.0,0.74,0.0026324324324324324,-1.0
Unknown,Original Screenplay,Thriller/Suspense,Live Action,False,3700000,11,2006,4568,2,0.38,0.44,0.0012345945945945946,0.54
